stop_id,stop_name,stop_desc,stop_lat,stop_lon,zone_id,location_type,parent_station,wheelchair_boarding
STANNE_1,"Plage Ste Anne",,  48.361763,  -4.554317,,,,1
COSQUE_1,"Cosquer",,  48.366310,  -4.547522,,,,1
COSQUE_2,"Cosquer",,  48.366150,  -4.547663,,,,1
CROAS_2,"Croas ar Go",,  48.362774,  -4.584112,,,,1
BSSAIS_2,"Broussais",,  48.422562,  -4.494079,,,,2
BSSAIS_1,"Broussais",,  48.422882,  -4.493985,,,,2
CAMELI_2,"Camélias",,  48.428562,  -4.563344,,,,2
CAMELI_1,"Camélias",,  48.428558,  -4.563411,,,,2
STELOI_1,"St-Eloi",,  48.435608,  -4.394771,,,,1
STELOI_2,"St-Eloi",,  48.435593,  -4.395149,,,,1
COPPIN_2,"Coppin",,  48.393990,  -4.494392,,,,1
BOURAY_1,"Bourayne",,  48.381657,  -4.526946,,,,1
BOURAY_2,"Bourayne",,  48.381538,  -4.527581,,,,1
BOHARS_2,"Bohars Bourg",,  48.428745,  -4.515675,,,,1
KERISB_1,"Kérisbian",,  48.398746,  -4.448843,,,,1
BLEUET_1,"Bleuets",,  48.374252,  -4.584278,,,,1
MOIGNE_2,"Le Moigne",,  48.383404,  -4.508398,,,,1
MOIGNE_1,"Le Moigne",,  48.383053,  -4.509761,,,,1
COLL_VAL,"Camille Vallaux",,  48.402847,  -4.398813,,,,2
F_ESPE_1,"Fr. d' Espérey",,  48.382294,  -4.508713,,,,1
KERANG_1,"Kerangoff",,  48.381290,  -4.510600,,,,1
P_BERT_1,"Paul Bert",,  48.381390,  -4.513987,,,,2
SCHUM_1,"Schuman",,  48.398220,  -4.407444,,,,2
MAZE_2,"Mazé",,  48.396156,  -4.403249,,,,1
MAZE_1,"Mazé",,  48.396221,  -4.403379,,,,1
CORMO_1,"Cormorans",,  48.404099,  -4.387171,,,,1
CORMO_2,"Cormorans",,  48.404037,  -4.387150,,,,1
PORT_P_2,"Port Plaisance",,  48.394985,  -4.433937,,,,1
KERJAN_1,"Kerjean",,  48.398773,  -4.405145,,,,2
MENDY_2,"Le Mendy",,  48.394859,  -4.409057,,,,1
MENDY_1,"Le Mendy",,  48.394981,  -4.409289,,,,1
TECHNO_2,"Technopôle",,  48.360332,  -4.571274,,,,1
FLMING_1,"Fleming",,  48.410320,  -4.394356,,,,2
FLMING_2,"Fleming",,  48.410179,  -4.394311,,,,2
GNENO_2,"Guéhenno",,  48.410648,  -4.398058,,,,2
GHENO_1,"Guéhenno",,  48.410866,  -4.398046,,,,2
STANNE_2,"Plage Ste Anne",,  48.361538,  -4.554558,,,,1
KVENAL_1,"Kervenal",,  48.381947,  -4.349899,,,,1
CESKRX_2,"Keranroux",,  48.381599,  -4.540406,,,,1
KASTL_1,"Kastler",,  48.430008,  -4.442211,,,,2
KVENAL_2,"Kervenal",,  48.381901,  -4.349907,,,,1
